# Time-averaged data for fix cell_info
# TimeStep v_avol v_alx v_aly v_alz
636000 1412.56 11.0382 11.0382 11.5929
638000 1401.96 11.0104 11.0104 11.5637
640000 1404.43 11.017 11.017 11.5706
642000 1409.56 11.0304 11.0304 11.5847
644000 1403.44 11.0143 11.0143 11.5677
646000 1410.13 11.0317 11.0317 11.5861
648000 1405.79 11.0205 11.0205 11.5743
650000 1410.36 11.0324 11.0324 11.5867
652000 1407.83 11.0259 11.0259 11.58
654000 1410.77 11.0336 11.0336 11.5881
656000 1407.32 11.0246 11.0246 11.5786
658000 1406.86 11.0233 11.0233 11.5772
660000 1405.78 11.0202 11.0202 11.574
662000 1403.88 11.0153 11.0153 11.5688
664000 1407.94 11.0262 11.0262 11.5803
666000 1407.89 11.0261 11.0261 11.5801
668000 1404.6 11.0173 11.0173 11.571
670000 1408.01 11.0261 11.0261 11.5802
672000 1404.92 11.0181 11.0181 11.5717
674000 1405 11.0184 11.0184 11.5721
676000 1407.97 11.0262 11.0262 11.5803
678000 1410.68 11.0333 11.0333 11.5877
680000 1403.11 11.0134 11.0134 11.5668
682000 1406.83 11.023 11.023 11.5769
684000 1406.03 11.021 11.021 11.5748
686000 1405.92 11.0205 11.0205 11.5743
688000 1404.57 11.0172 11.0172 11.5709
690000 1404.71 11.0175 11.0175 11.5711
692000 1405.81 11.0205 11.0205 11.5743
694000 1411.35 11.035 11.035 11.5895
696000 1408.29 11.0268 11.0268 11.5809
698000 1402.64 11.0122 11.0122 11.5655
700000 1408.52 11.0274 11.0274 11.5816
702000 1404.72 11.0176 11.0176 11.5713
704000 1405.07 11.0187 11.0187 11.5724
706000 1405.3 11.0192 11.0192 11.573
708000 1407.71 11.0254 11.0254 11.5794
710000 1409.33 11.0298 11.0298 11.5841
712000 1410.13 11.0315 11.0315 11.5859
714000 1403.93 11.0156 11.0156 11.5691
716000 1407 11.0237 11.0237 11.5776
718000 1406.39 11.0221 11.0221 11.576
720000 1403.14 11.0134 11.0134 11.5668
722000 1405.63 11.0201 11.0201 11.5739
724000 1409.35 11.0296 11.0296 11.5839
726000 1409.37 11.0298 11.0298 11.584
728000 1407.79 11.0256 11.0256 11.5796
730000 1403.17 11.0137 11.0137 11.5672
732000 1405.02 11.0185 11.0185 11.5722
734000 1402.57 11.0119 11.0119 11.5652
736000 1401.57 11.0094 11.0094 11.5627
738000 1404.17 11.0163 11.0163 11.5699
740000 1402.75 11.0124 11.0124 11.5658
742000 1401.93 11.0105 11.0105 11.5637
744000 1399.46 11.0037 11.0037 11.5566
746000 1401.34 11.0085 11.0085 11.5617
748000 1399.58 11.0043 11.0043 11.5572
750000 1401.81 11.0102 11.0102 11.5634
752000 1397.9 11 11 11.5527
754000 1398.37 11.0012 11.0012 11.554
756000 1400.91 11.0078 11.0078 11.561
758000 1400.67 11.0072 11.0072 11.5603
760000 1401.81 11.01 11.01 11.5633
762000 1396.51 10.9962 10.9962 11.5487
764000 1398.19 11.0005 11.0005 11.5533
766000 1392.76 10.9863 10.9863 11.5384
768000 1399.98 11.0053 11.0053 11.5584
770000 1391.24 10.9824 10.9824 11.5343
772000 1395.76 10.9943 10.9943 11.5468
774000 1396.77 10.997 10.997 11.5496
776000 1391.38 10.9827 10.9827 11.5346
778000 1394.98 10.9922 10.9922 11.5446
780000 1391.58 10.9833 10.9833 11.5353
782000 1394.96 10.9921 10.9921 11.5445
784000 1392.05 10.9845 10.9845 11.5365
786000 1393.01 10.9871 10.9871 11.5392
788000 1392.37 10.9854 10.9854 11.5375
790000 1391.84 10.984 10.984 11.536
792000 1392.41 10.9855 10.9855 11.5376
794000 1389.97 10.9791 10.9791 11.5308
796000 1388.99 10.9765 10.9765 11.5281
798000 1391.72 10.9836 10.9836 11.5355
800000 1388.95 10.9765 10.9765 11.528
802000 1391.63 10.9834 10.9834 11.5354
804000 1388.89 10.9763 10.9763 11.5279
806000 1388.32 10.9747 10.9747 11.5261
808000 1387.55 10.9727 10.9727 11.5241
810000 1391.61 10.9834 10.9834 11.5354
812000 1389.28 10.9773 10.9773 11.5289
814000 1391.32 10.9826 10.9826 11.5345
816000 1386.09 10.9688 10.9688 11.52
818000 1387.2 10.9718 10.9718 11.5231
820000 1388.44 10.9751 10.9751 11.5266
822000 1390.05 10.9793 10.9793 11.531
824000 1385.97 10.9685 10.9685 11.5197
826000 1389.76 10.9786 10.9786 11.5302
828000 1387.89 10.9735 10.9735 11.525
830000 1388.56 10.9754 10.9754 11.5269
832000 1386.77 10.9707 10.9707 11.522
834000 1388.75 10.9758 10.9758 11.5274
836000 1387.9 10.9737 10.9737 11.5251
838000 1389.87 10.9788 10.9788 11.5305
840000 1388.93 10.9764 10.9764 11.528
842000 1390.02 10.9792 10.9792 11.531
844000 1391.26 10.9825 10.9825 11.5343
846000 1388.31 10.9747 10.9747 11.5262
848000 1388.52 10.9752 10.9752 11.5267
850000 1388.87 10.9762 10.9762 11.5278
852000 1389.68 10.9783 10.9783 11.5299
854000 1387.39 10.9723 10.9723 11.5237
856000 1389.65 10.9782 10.9782 11.5298
858000 1389.56 10.9779 10.9779 11.5296
860000 1388.46 10.9751 10.9751 11.5266
862000 1386.79 10.9706 10.9706 11.5219
